기종 (Model),항목 (Section),작업 (Task Description),링크 (Reference)
A380,A. Configuration,Make sure that the landing-gear door safety-devices are installed,Ref. AMM TASK 32-00-00-481-802
A380,A. Configuration,Install aircraft protection devices,Ref. AMM TASK 10-11-00-553-801
A380,A. Configuration,Electrically ground the aircraft (E/E),Ref. AMM TASK 24-41-00-860-801
A380,A. Configuration,Make sure that the flaps and slats are retracted on the ground,Ref. AMM TASK 27-50-00-866-805
A380,A. Configuration,Make sure that the spoilers are retracted,Ref. AMM TASK 27-64-00-866-802
A380,A. Configuration,Make sure that the thrust reversers are unserviceable,Ref. AMM TASK 78-30-00-040-801
A380,B. Deactivation,Deactivation/Reactivation procedures,Refer to the MMEL or CDL
A380,C. Energization,"Energize the aircraft electrical circuits from the external power receptacles 2, 3, 1 and 4",Ref. AMM TASK 24-41-00-861-801
A380,C. Energization,Energize the aircraft electrical circuits from the APU,Ref. AMM TASK 24-41-00-861-801
A380,C. Energization,"De-energize the aircraft electrical circuits from the external power receptacles 2, 3, 1 and 4",Ref. AMM TASK 24-41-00-862-801
A380,C. Energization,De-energize the aircraft electrical circuits from the APU,Ref. AMM TASK 24-41-00-862-801
A380,C. Pressurization,Pressurize the Green hydraulic system with the hydraulic ground-power cart,Ref. AMM TASK 29-00-00-863-801
A380,C. Pressurization,Pressurize the Green hydraulic system with the electric pumps,Ref. AMM TASK 29-00-00-863-801
A380,C. Pressurization,Pressurize the Yellow hydraulic system with the hydraulic ground-power cart,Ref. AMM TASK 29-00-00-863-802
A380,C. Pressurization,Pressurize the Yellow hydraulic system with the electric pumps,Ref. AMM TASK 29-00-00-863-802
A380,C. Pressurization,Depressurize the Green hydraulic system (pressurized with the hydraulic ground-power cart),Ref. AMM TASK 29-00-00-864-801
A380,C. Pressurization,Depressurize the Green hydraulic system (pressurized with the electric pumps),Ref. AMM TASK 29-00-00-864-801
A380,C. Pressurization,Depressurize the Yellow hydraulic system (pressurized with the hydraulic ground-power cart),Ref. AMM TASK 29-00-00-864-802
A380,C. Pressurization,Depressurize the Yellow hydraulic system (pressurized with the electric pumps),Ref. AMM TASK 29-00-00-864-802
A380,C. Pressurization,Put the related hydraulic system in depressurized configuration before maintenance,Ref. AMM TASK 29-00-00-864-803
A380,C. Pressurization,Pressurize the bleed system through the APU,Ref. AMM TASK 36-12-00-860-801
A380,C. Pressurization,Pressurize the bleed system through the HP ground connector,Ref. AMM TASK 36-12-00-860-802
A380,D. Access Doors,Open the passenger/crew doors,Ref. AMM TASK 52-10-00-010-801
A380,D. Access Doors,Close the passenger/crew doors,Ref. AMM TASK 52-10-00-410-801
A380,D. Access Doors,Open the WLG doors,Ref. AMM TASK 32-12-00-010-801
A380,D. Access Doors,Close the WLG doors,Ref. AMM TASK 32-12-00-410-801
A380,D. Access Doors,Open the BLG doors,Ref. AMM TASK 32-18-00-010-801
A380,D. Access Doors,Open the BLG doors,Ref. AMM TASK 32-18-00-010-802
A380,D. Access Doors,Close the BLG doors,Ref. AMM TASK 32-18-00-410-801
A380,D. Access Doors,Close the BLG doors,Ref. AMM TASK 32-18-00-410-802
A380,D. Access Doors,Open the NLG doors,Ref. AMM TASK 32-22-00-010-801
